student_policy,eid_set,n,mean_d_mean_world_x,mean_d_mean_world_y,mean_d_mean_world_z,mean_d_mean_xy_norm,mean_d_mean_rot_norm,mean_d_mean_raw_open,mean_d_close_frac,mean_d_open_frac
v1_300k,"{2,11,14,23}",4,-0.000051,+0.001965,-0.006681,-0.001164,+0.006681,+0.080307,-0.116667,+0.116667
step0_305k,"{2,11,14,23}",4,+0.001678,+0.001549,-0.004793,-0.001214,+0.004744,+0.056386,-0.104167,+0.104167
step1_305k,"{2,11,14,23}",4,+0.001845,+0.003485,-0.004715,-0.000559,+0.002711,+0.012091,+0.010417,-0.010417
repaired_8000,"{2,11,14,23}",4,+0.000282,+0.001328,+0.000855,-0.001602,-0.006533,-0.037665,+0.079167,-0.079167
