offset,success,moved,grasp,consecutive,target,n
0.0,19,34,31,29,19,36
0.002,16,33,31,29,16,36
0.004,8,29,21,20,8,36
0.006,3,24,12,10,3,36
0.008,0,2,1,0,0,36
0.012,0,0,0,0,0,36
0.020,0,0,0,0,0,36
