offset,success,moved,grasp,consecutive,target,n
0.0,22,36,35,34,22,36
0.002,22,34,34,33,22,36
0.004,14,32,32,29,14,36
0.006,3,26,27,18,3,36
0.008,0,8,0,0,0,36
0.012,0,0,0,0,0,36
0.020,0,0,0,0,0,36
