offset,grasped,net_full,raw_full,net_late,raw_late,dev_full,dev_late
0.000,6,-0.00103,-0.00103,-0.00202,-0.00202,+0.00000,+0.00000
0.002,6,-0.00064,-0.00264,-0.00244,-0.00444,-0.00161,-0.00242
0.004,6,-0.00111,-0.00511,-0.00252,-0.00652,-0.00408,-0.00451
0.006,6,-0.00095,-0.00695,-0.00266,-0.00866,-0.00592,-0.00665
0.008,3,-0.00033,-0.00833,-0.00051,-0.00851,-0.00730,-0.00650
0.012,1,+0.01023,-0.00177,+0.01063,-0.00137,-0.00073,+0.00065
0.020,0,,,,,,
