offset,grasped,net_full,raw_full,net_late,raw_late,dev_full,dev_late
0.000,6,-0.00126,-0.00126,-0.00211,-0.00211,+0.00000,+0.00000
0.002,6,+0.00056,-0.00144,-0.00002,-0.00202,-0.00018,+0.00009
0.004,6,-0.00166,-0.00566,-0.00250,-0.00650,-0.00440,-0.00439
0.006,6,-0.00019,-0.00619,-0.00138,-0.00738,-0.00492,-0.00528
0.008,3,+0.00079,-0.00721,-0.00185,-0.00985,-0.00594,-0.00774
0.012,1,+0.00772,-0.00428,+0.00725,-0.00475,-0.00302,-0.00264
0.020,0,,,,,,
