offset,grasped,net_full,raw_full,net_late,raw_late,dev_full,dev_late
0.000,3,-0.00623,-0.00623,-0.00849,-0.00849,+0.00000,+0.00000
0.002,3,-0.00257,-0.00457,-0.00165,-0.00365,+0.00166,+0.00484
0.004,3,-0.00298,-0.00698,-0.00557,-0.00957,-0.00075,-0.00108
0.006,3,-0.00217,-0.00817,-0.00281,-0.00881,-0.00193,-0.00032
0.008,2,+0.00561,-0.00239,+0.00352,-0.00448,+0.00384,+0.00401
0.012,0,,,,,,
0.020,5,+0.01786,-0.00214,+0.01719,-0.00281,+0.00409,+0.00568
